LSOA code (2021),LSOA name (2021),Local Authority District code (2024),Local Authority District name (2024),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Children Index (IDACI) Rank (where 1 is most deprived),Income Deprivation Affecting Children Index (IDACI) Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Rank (where 1 is most deprived),Income Deprivation Affecting Older People (IDAOPI) Decile (where 1 is most deprived 10% of LSOAs),Children and Young People Sub-domain Score,Children and Young People Sub-domain Rank (where 1 is most deprived),Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSO,Adult Skills Sub-domain Score,Adult Skills Sub-domain Rank (where 1 is most deprived),Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Geographical Barriers Sub-domain Score,Geographical Barriers Sub-domain Rank (where 1 is most deprived),Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Wider Barriers Sub-domain Score,Wider Barriers Sub-domain Rank (where 1 is most deprived),Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Indoors Sub-domain Score,Indoors Sub-domain Rank (where 1 is most deprived),Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Outdoors Sub-domain Score,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Total population: mid 2022,Dependent Children aged 0-15: mid 2022,Older population aged 60 and over: mid 2022,Working age population 18-66 (for use with Employment Deprivation Domain): mid 2022
E01029870,Babergh 010A,E07000200,Babergh,18.08,16296,5,0.199,15716,5,0.102,18248,6,28.442,9641,3,-0.089,17722,6,-0.514,24128,8,33.183,4725,2,8.17,25801,8,0.316,15929,5,0.161,15888,5,0.884,5520,2,0.229,16099,5,62.104,2897,1,-0.71,19116,6,-0.477,25835,8,-0.176,18912,6,1167,212,278,754
E01029871,Babergh 011A,E07000200,Babergh,12.04,22553,7,0.104,25487,8,0.078,23507,7,8.71,24026,8,-0.853,28076,9,-1.471,32625,10,32.95,4859,2,33.5,7586,3,0.15,26799,8,0.102,21752,7,-0.209,19587,6,0.154,26936,8,69.983,1745,1,-3.538,30033,9,0.723,4875,2,-0.237,20056,6,1447,200,631,767
E01029872,Babergh 010B,E07000200,Babergh,8.404,26963,8,0.077,29065,9,0.068,26099,8,7.692,25154,8,-0.952,29051,9,-1.517,32778,10,34.892,3934,2,7.524,26515,8,0.133,28046,9,0.05,30064,9,-0.665,26102,8,0.187,22130,7,68.005,2021,1,-1.432,22412,7,-0.544,27134,9,-0.159,18549,6,1522,228,571,861
E01029873,Babergh 011B,E07000200,Babergh,19.33,15252,5,0.144,20770,7,0.102,18310,6,20.56,13972,5,-0.698,26341,8,-0.482,23655,8,40.915,1874,1,38.831,5349,2,0.291,17246,6,0.099,22048,7,0.566,8784,3,0.196,20770,7,73.39,1315,1,-0.592,18536,6,0.871,3327,1,-0.273,20689,7,2234,297,879,1267
E01029874,Babergh 011C,E07000200,Babergh,14.072,20323,7,0.095,26785,8,0.061,27937,9,12.945,19921,6,-1.012,29586,9,-1.163,30996,10,43.13,1358,1,36.133,6425,2,0.186,24088,8,0.062,27898,9,0.057,15610,5,0.18,23197,7,78.528,733,1,-1.564,22968,7,0.879,3254,1,-1.145,32259,10,1711,265,600,1045
E01029875,Babergh 009A,E07000200,Babergh,15.282,19008,6,0.121,23221,7,0.067,26229,8,11.364,21422,7,-1.38,31940,10,-0.465,23456,7,37.913,2794,1,45.162,3321,1,0.197,23242,7,0.079,25016,8,0.004,16379,5,0.165,25440,8,76.104,989,1,-3.452,29813,9,1.093,1691,1,-1.022,31432,10,2379,386,817,1374
E01029876,Babergh 001A,E07000200,Babergh,22.304,12930,4,0.171,18033,6,0.111,16775,5,21.581,13316,4,-0.934,28879,9,-0.718,26799,8,44.469,1093,1,47.93,2660,1,0.352,14147,5,0.084,24146,8,0.514,9411,3,0.217,17733,6,80.676,533,1,-1.964,24672,8,1.095,1682,1,-0.294,21111,7,2188,349,789,1251
E01029877,Babergh 005A,E07000200,Babergh,12.097,22495,7,0.064,30789,10,0.058,28707,9,3.687,29773,9,-0.545,24318,8,-0.503,23952,8,39.181,2358,1,35.404,6742,2,0.062,32446,10,0.084,24249,8,-1.098,30312,9,0.153,27155,9,77.591,835,1,-3.489,29922,9,0.695,5162,2,0.127,13317,4,1557,245,510,925
E01029878,Babergh 005B,E07000200,Babergh,7.675,27843,9,0.084,28241,9,0.068,25999,8,8.979,23755,8,-0.761,27060,9,-0.39,22367,7,21.664,14825,5,13.855,20086,6,0.111,29737,9,0.061,27984,9,-0.419,22817,7,0.184,22590,7,48.128,6124,2,-2.464,26635,8,-0.468,25650,8,0.475,8191,3,1297,152,549,718
E01029879,Babergh 005C,E07000200,Babergh,12.898,21552,7,0.139,21268,7,0.084,22010,7,14.985,18153,6,-0.793,27438,9,-0.515,24144,8,29.057,7251,3,22.836,13332,4,0.259,19130,6,0.097,22403,7,0.046,15762,5,0.207,19168,6,59.865,3241,1,-2.027,24942,8,0.082,14136,5,0.434,8694,3,1857,309,604,1080
E01029880,Babergh 006A,E07000200,Babergh,14.599,19766,6,0.131,22205,7,0.087,21545,7,9.484,23216,7,-0.997,29468,9,-0.725,26872,8,36.47,3292,1,35.879,6531,2,0.195,23390,7,0.114,20385,7,-0.453,23310,7,0.193,21143,7,68.631,1935,1,-0.938,20203,6,0.796,4116,2,-0.253,20357,7,1886,254,708,1083
E01029881,Babergh 002A,E07000200,Babergh,15.433,18852,6,0.092,27220,9,0.053,29913,9,11.965,20826,7,-1.269,31368,10,-1.111,30631,10,47.112,649,1,43.384,3842,2,0.172,25117,8,0.049,30085,9,0.018,16184,5,0.171,24411,8,84.966,217,1,-3.202,29096,9,1.057,1918,1,-1.124,32127,10,2102,359,734,1202
E01029882,Babergh 010C,E07000200,Babergh,10.027,24946,8,0.118,23590,7,0.082,22608,7,7.296,25587,8,-0.805,27577,9,-0.857,28332,9,29.351,7032,3,13.625,20289,7,0.201,22927,7,0.09,23366,7,-0.567,24877,8,0.174,24051,8,64.499,2536,1,-3.588,30159,9,0.05,14748,5,-0.981,31096,10,1526,211,582,856
